checkpoint,condition,permutation_seed,mean_max_routing_weight,next_token_nll,perplexity,delta_nll_vs_learned,delta_nll_ci_95_low,delta_nll_ci_95_high,evaluation_samples,evaluation_tokens
Delta-AttnRes,learned,,0.912126953478151,1.0296968657093482,2.8002168642767327,0.0,0.0,0.0,281,122180
Delta-AttnRes,permute,0,0.912126953478151,1.0456957488778882,2.845377503340608,0.015998883168540035,0.014845695185198864,0.017189900326535626,281,122180
Delta-AttnRes,permute,1,0.912126953478151,1.0433762211127569,2.838785219667492,0.0136793554034087,0.012576669775842722,0.014767523946119795,281,122180
Delta-AttnRes,permute,2,0.912126953478151,1.0447471769766559,2.8426797379070683,0.015050311267307714,0.013815652792216958,0.016297394201349503,281,122180
Delta-AttnRes,permute,3,0.912126953478151,1.06013664199397,2.8867654157022624,0.0304397762846218,0.028709186630410645,0.03233254590078542,281,122180
Delta-AttnRes,permute,4,0.912126953478151,1.0447441109816364,2.842671022278511,0.01504724527228829,0.013918813452174555,0.016227796021070016,281,122180
Delta-AttnRes,permuted_mean,,0.912126953478151,1.0477399799885814,2.851200061854584,0.01804311427923322,0.01700938221897149,0.019049230869556472,281,122180
Delta-AttnRes,uniform,,0.3353794515132904,1.038103207481885,2.8238556629796308,0.008406341772536852,0.0075389179287914335,0.009243207172431111,281,122180
