checkpoint,condition,permutation_seed,mean_max_routing_weight,next_token_nll,perplexity,delta_nll_vs_learned,delta_nll_ci_95_low,delta_nll_ci_95_high,evaluation_samples,evaluation_tokens
Delta-AttnRes,learned,,0.912126953478151,1.0296968657093482,2.8002168642767327,0.0,0.0,0.0,281,122180
Delta-AttnRes,permute,5,0.912126953478151,1.0467907877947191,2.8484950090233445,0.01709392208537097,0.01586567436509238,0.018323427809932045,281,122180
Delta-AttnRes,permute,6,0.912126953478151,1.0414988191960233,2.833460678570647,0.01180195348667512,0.010680237950434046,0.012847385645227987,281,122180
Delta-AttnRes,permute,7,0.912126953478151,1.0620385858582913,2.892261106063002,0.0323417201489431,0.030485236637944384,0.03413173229588971,281,122180
Delta-AttnRes,permute,8,0.912126953478151,1.045186941821557,2.843930123438761,0.015490076112208762,0.014326518934938713,0.016642757693349965,281,122180
Delta-AttnRes,permute,9,0.912126953478151,1.0491694787731536,2.8552787634324943,0.019472613063805433,0.01808337840013319,0.02089308551985618,281,122180
Delta-AttnRes,permute,10,0.912126953478151,1.0417636517281033,2.834211170509656,0.012066786018755105,0.010853457580105216,0.013144129983026961,281,122180
Delta-AttnRes,permuted_mean,,0.912126953478151,1.0477413775286413,2.851204046523674,0.01804451181929312,0.016990625532029947,0.019113612095554434,281,122180
Delta-AttnRes,uniform,,0.3353794515132904,1.038103207481885,2.8238556629796308,0.008406341772536852,0.00746707551493541,0.009339588632160141,281,122180
