checkpoint,routing_branch_scale,mean_max_routing_weight,max_routing_weight_change_vs_scale_1,mean_routed_l2,mean_scaled_routed_l2_over_residual_l2,next_token_nll,perplexity,delta_nll_vs_scale_1,delta_nll_ci_95_low,delta_nll_ci_95_high,evaluation_samples,evaluation_tokens
Delta-AttnRes,0.0,0.911714772549507,-0.00041218092864403477,23.97235107421875,0.0,1.0415315050757992,2.8335532942393407,0.011834639366451016,0.010728286303340006,0.012954576328527635,281,122180
Delta-AttnRes,0.25,0.911755406960501,-0.0003715465176500343,24.01279067993164,0.01947314664721489,1.0349129642318597,2.814861231352672,0.005216098522511592,0.004464433689094074,0.005955638742161945,281,122180
Delta-AttnRes,0.5,0.9118320112830529,-0.00029494219509806907,23.883718490600586,0.038585443049669266,1.0320076871726143,2.806695147703918,0.0023108214632661106,0.0018708005405865984,0.0027684136254547014,281,122180
Delta-AttnRes,0.75,0.9119661291159327,-0.00016082436221831475,23.649662017822266,0.05734771490097046,1.030475505429841,2.802398073431094,0.0007786397204927464,0.0005361528837472634,0.0010358415208404459,281,122180
Delta-AttnRes,1.0,0.912126953478151,0.0,23.336198806762695,0.07576268911361694,1.0296968657093482,2.8002168642767327,0.0,0.0,0.0,281,122180
Delta-AttnRes,1.25,0.9123316102860346,0.00020465680788361862,22.948612213134766,0.09381331503391266,1.0297515078600972,2.800369878329231,5.4642150749018015e-05,-0.00019236338540157936,0.0003037647652756294,281,122180
Delta-AttnRes,1.5,0.9126128149838023,0.00048586150565133046,22.4722843170166,0.11142141371965408,1.030658426189563,2.802910737102714,0.0009615604802148958,0.0005586673842485836,0.0013497258466585243,281,122180
Delta-AttnRes,2.0,0.9134384016544589,0.0013114481763079056,21.107982635498047,0.1445525735616684,1.0383979359007172,2.824688056153127,0.00870107019136901,0.007716184607102088,0.009718629145744787,281,122180
